#  Space-time domain Green function database
#  calculated on Tue Jun 02 14:57:23 2020
#================================================
#  data_type size: REAL*4
#================================================
#  time_window[s] sampling[s] number_of_samples
    200.00      0.01 20001
#================================================
#  number of distances, list of distances[km]
     365
   23       16.6667        9.5000        5.1687        3.9280    259.58    164.48
   24       16.6667        9.5560        5.2040        3.9266    260.35    165.19
   25       16.6667        9.6121        5.2393        3.9253    261.01    165.84
   26       16.6667        9.6681        5.2745        3.9240    261.67    166.48
   27       25.0000        9.7381        5.3189        3.9229    262.50    167.30
   28       25.0000        9.8220        5.3722        3.9222    263.50    168.29
   29       25.0000        9.9060        5.4253        3.9215    264.55    169.29
   30       25.0000        9.9900        5.4782        3.9209    265.63    170.31
   31       25.0000       10.0740        5.5311        3.9205    266.76    171.35
   32       25.0000       10.1580        5.5840        3.9202    267.92    172.40
   33       16.6667       10.8128        5.9822        4.2486    844.26    548.46
   34       16.6667       10.8565        6.0252        4.2685    837.35    546.47
   35       16.6667       10.9003        6.0683        4.2886    830.43    544.48
   36       25.0000       10.9555        6.1198        4.3130    822.53    542.02
   37       25.0000       11.0220        6.1799        4.3420    813.62    539.09
   38       49.5000       11.0954        6.2262        4.3841    806.06    534.77
   39       49.5000       11.1791        6.2611        4.4383    799.79    529.12
   40       49.5000       11.2648        6.2981        4.4905    793.44    523.58
   41       49.5000       11.3482        6.3341        4.5407    787.17    518.14
   42       49.5000       11.4300        6.3689        4.5790    781.06    512.83
   43       49.5000       11.5098        6.4021        4.6062    775.15    507.62
   44       49.5000       11.5879        6.4348        4.6332    769.25    502.52
   45       49.5000       11.6642        6.4668        4.6601    763.42    497.52
   46       49.5000       11.7394        6.4976        4.6868    757.78    492.62
   47       49.5000       11.8129        6.5281        4.7133    752.14    487.82
   48       49.5000       11.8849        6.5579        4.7397    746.55    483.11
   49       49.5000       11.9549        6.5868        4.7659    741.03    478.48
   50       49.5000       12.0231        6.6147        4.7920    735.62    473.94
   51       49.5000       12.0909        6.6419        4.8178    730.36    469.50
   52       49.5000       12.1579        6.6683        4.8434    725.25    465.12
   53       49.5000       12.2235        6.6941        4.8689    720.20    460.84
   54       49.5000       12.2869        6.7196        4.8943    715.11    456.63
   55       49.5000       12.3497        6.7451        4.9195    710.04    452.50
   56       49.5000       12.4120        6.7699        4.9445    705.11    448.44
   57       49.5000       12.4728        6.7938        4.9693    700.28    444.46
   58       49.5000       12.5334        6.8172        4.9939    694.06    439.58
   59       49.5000       12.5932        6.8403        5.0184    686.45    433.86
   60       49.5000       12.6516        6.8630        5.0427    678.98    428.28
   61       49.5000       12.7095        6.8857        5.0668    670.25    421.97
   62       49.5000       12.7670        6.9083        5.0908    663.09    416.68
   63       49.5000       12.8240        6.9305        5.1145    658.85    413.23
   64       49.5000       12.8808        6.9520        5.1381    653.42    409.01
   65       49.5000       12.9378        6.9738        5.1615    648.07    404.87
   66       49.5000       12.9944        6.9960        5.1847    642.75    400.82
   67       49.5000       13.0506        7.0177        5.2077    635.05    395.29
   68       49.5000       13.1061        7.0395        5.2306    627.47    389.88
   69       49.5000       13.1616        7.0613        5.2533    621.28    385.37
   70       49.5000       13.2180        7.0827        5.2758    615.35    380.97
   71       49.5000       13.2741        7.1038        5.2981    610.71    377.37
   72       49.5000       13.3300        7.1256        5.3202    606.07    373.85
   73       49.5000       13.3870        7.1476        5.3422    600.43    369.70
   74       49.5000       13.4448        7.1694        5.3639    595.00    365.64
   75       48.5000       13.5026        7.1917        5.3855    589.60    361.67
   76       50.0000       13.5605        7.2142        5.4069    583.28    357.16
   77       50.0000       13.6198        7.2369        5.4281    577.15    352.75
   78       49.6700       13.6515        7.2539        5.7065    446.43    272.86
   79       49.6600       13.6551        7.2646        5.7327    447.41    273.97
   80       52.1700       13.6585        7.2758        5.7589    446.53    273.97
   81       47.8300        8.0191        0.0000        9.9543  57822.00      0.00
   82       25.1650        8.0607        0.0000       10.0136  57822.00      0.00
   83       25.1650        8.1058        0.0000       10.0526  57822.00      0.00
   84       25.1650        8.1515        0.0000       10.0912  57822.00      0.00
   85       25.1650        8.1980        0.0000       10.1294  57822.00      0.00
   86       25.1650        8.2440        0.0000       10.1671  57822.00      0.00
   87       25.1650        8.2895        0.0000       10.2045  57822.00      0.00
   88       25.1700        8.3342        0.0000       10.2415  57822.00      0.00
   89       25.1700        8.3781        0.0000       10.2781  57822.00      0.00
   90       25.1650        8.4216        0.0000       10.3142  57822.00      0.00
   91       25.1650        8.4646        0.0000       10.3500  57822.00      0.00
   92       50.3300        8.5276        0.0000       10.4028  57822.00      0.00
   93       50.3300        8.6094        0.0000       10.4719  57822.00      0.00
   94       50.3300        8.6889        0.0000       10.5396  57822.00      0.00
   95       50.3300        8.7659        0.0000       10.6057  57822.00      0.00
   96       50.3300        8.8398        0.0000       10.6704  57822.00      0.00
   97       50.3300        8.9111        0.0000       10.7335  57822.00      0.00
   98       50.3300        8.9799        0.0000       10.7952  57822.00      0.00
   99       50.3400        9.0465        0.0000       10.8554  57822.00      0.00
  100       50.3300        9.1109        0.0000       10.9143  57822.00      0.00
  101       50.3300        9.1734        0.0000       10.9717  57822.00      0.00
  102       50.3300        9.2338        0.0000       11.0278  57822.00      0.00
  103       50.3300        9.2919        0.0000       11.0825  57822.00      0.00
  104       50.3300        9.3482        0.0000       11.1359  57822.00      0.00
  105       50.3300        9.4028        0.0000       11.1880  57822.00      0.00
  106       50.3300        9.4555        0.0000       11.2388  57822.00      0.00
